17
1d4d89,E,Lawn Mower,Ryobi er12
1d4d73,E,Dog,SUPER MEGA 200x
0ec6e9,E,Harvester,Looploop 120x
740515,E,Baler,Haymaker 400
3506f6,E,Farmer,Large Corp X25
649f88,E,Truck,F105
342foa3,P,Haybale,bale,500
3n3k4l2,P,Corn seed,bag,50
n3453js,P,Fertilizer,liter,10.25
t7450us,P,Planter,pot,3
l4k32j4,P,Wire fencing,lft,8
23n4kl2,P,Top soil,ton,850
2334b23,S,Delivery,100
n43k2l3,S,Plowing,1000
432kn2l,S,Tractor Driving Lessons,25
8432941,S,Cattle Vaccination,225.50
im329op,S,Extermination,2025.50
